"Glu_thr","Gal_thr","remove_one_mismatch","corr","missing"
0,0,FALSE,0.809890306719772,0
10,0,FALSE,0.811491200414795,0.0115157173980703
30,0,FALSE,0.810384160462609,0.0146280734516029
50,0,FALSE,0.807681799054682,0.0182072829131653
100,0,FALSE,0.813778096522778,0.0287892934951758
0,10,FALSE,0.811055056567898,0.0135387488328665
10,10,FALSE,0.813381628539311,0.0480859010270775
30,10,FALSE,0.811838661187705,0.0547774665421724
50,10,FALSE,0.808272550691326,0.0583566760037348
100,10,FALSE,0.814117553652044,0.0750077808901338
0,30,FALSE,0.818495981081722,0.0292561469032057
10,30,FALSE,0.817103308855483,0.0686274509803922
30,30,FALSE,0.814779498149868,0.0774976657329599
50,30,FALSE,0.814364238583567,0.0840336134453782
100,30,FALSE,0.816116523276961,0.104575163398693
0,50,FALSE,0.82512752130577,0.066604419545596
10,50,FALSE,0.817088519873472,0.112200435729847
30,50,FALSE,0.813619449109211,0.119670090258326
50,50,FALSE,0.812302053748649,0.126984126984127
100,50,FALSE,0.809674001127504,0.147836912542795
0,100,FALSE,0.828326158869995,0.195144724556489
10,100,FALSE,0.809157122366249,0.236227824463119
30,100,FALSE,0.804559851188032,0.241518829754124
50,100,FALSE,0.803156524871658,0.245098039215686
100,100,FALSE,0.801154673046337,0.257080610021787
0,0,TRUE,0.785109531741209,0.00995953937130408
10,0,TRUE,0.785971789001188,0.0286336756924992
30,0,TRUE,0.786161836630541,0.0339246809835045
50,0,TRUE,0.781123111598051,0.0387488328664799
100,0,TRUE,0.786277404110876,0.0555555555555556
0,10,TRUE,0.797941941130201,0.033302209772798
10,10,TRUE,0.798277116910147,0.0812324929971989
30,10,TRUE,0.796399618000426,0.0894802365390601
50,10,TRUE,0.78882170247559,0.0944600062247121
100,10,TRUE,0.793253202759505,0.115157173980703
0,30,TRUE,0.811227893286453,0.0553999377528789
10,30,TRUE,0.806689402273144,0.107998755057579
30,30,TRUE,0.804495721677101,0.118113912231559
50,30,TRUE,0.798235373795795,0.126206037970744
100,30,TRUE,0.795218940170982,0.151416122004357
0,50,TRUE,0.82183494470448,0.0995953937130408
10,50,TRUE,0.806616843754657,0.158418923124805
30,50,TRUE,0.802782075831142,0.169000933706816
50,50,TRUE,0.797052725979765,0.177248677248677
100,50,TRUE,0.794879236082347,0.203081232492997
0,100,TRUE,0.82215496696654,0.249610955493308
10,100,TRUE,0.793000947235148,0.29520697167756
30,100,TRUE,0.79902268902177,0.301431683784625
50,100,TRUE,0.791992818054377,0.305633364456894
100,100,TRUE,0.789870403725572,0.319016495487084
